city,county,state,ev_count,bev_count,phev_count,bev_ratio,phev_ratio,required_chargers,high_demand,centroid_lat,centroid_lon
North Bonneville,Skamania,WA,18,15,3,0.8333333333333334,0.16666666666666666,1,0,45.64119,-121.97
North Chesterfield,Chesterfield,VA,1,1,0,1.0,0.0,1,0,37.4995,-77.60119
North Cove,Pacific,WA,12,7,5,0.5833333333333334,0.4166666666666667,1,0,46.760799999999996,-124.0459
North Dartmouth,Bristol,MA,1,1,0,1.0,0.0,1,0,41.6405,-70.98066
North Las Vegas,Clark,NV,1,1,0,1.0,0.0,1,0,36.23353,-115.14764
Northport,Stevens,WA,1,1,0,1.0,0.0,1,0,48.91739,-117.77812
Northwestern Lake,Klickitat,WA,1,1,0,1.0,0.0,1,0,45.72776,-121.48704
Norwich,New London,CT,2,1,1,0.5,0.5,1,0,41.52676,-72.07568
Novato,Marin,CA,1,0,1,0.0,1.0,1,0,38.0993,-122.57707
O Fallon,St. Charles,MO,1,1,0,1.0,0.0,1,0,38.77011,-90.70251
Oak Harbor,Island,WA,715,500,215,0.6993006993006993,0.3006993006993007,36,1,48.29083686713287,-122.6468545734266
Oakesdale,Whitman,WA,4,3,1,0.75,0.25,1,0,47.12905,-117.24261
Oakville,Grays Harbor,WA,34,18,16,0.5294117647058824,0.47058823529411764,2,0,46.84077,-123.23285999999999
Oakville,Thurston,WA,2,1,1,0.5,0.5,1,0,46.84077,-123.23286
Ocean Park,Pacific,WA,51,29,22,0.5686274509803921,0.43137254901960786,3,1,46.48874156862745,-124.04995862745098
Ocean Shores,Grays Harbor,WA,199,135,64,0.678391959798995,0.32160804020100503,10,1,47.01156,-124.16408
Ocean Springs,Jackson,MS,1,1,0,1.0,0.0,1,0,30.41628,-88.80759
Oceanside,San Diego,CA,3,1,2,0.3333333333333333,0.6666666666666666,1,0,33.24082000000001,-117.30279666666667
Odenton,Anne Arundel,MD,1,1,0,1.0,0.0,1,0,39.0814,-76.69505
Odessa,Lincoln,WA,7,4,3,0.5714285714285714,0.42857142857142855,1,0,47.33323,-118.68999
Okanogan,Okanogan,WA,10,7,3,0.7,0.3,1,0,48.3654,-119.57959000000001
Olalla,Kitsap,WA,144,123,21,0.8541666666666666,0.14583333333333334,8,1,47.42602,-122.54729
Old Lyme,New London,CT,1,0,1,0.0,1.0,1,0,41.32392,-72.33425
Olga,San Juan,WA,59,44,15,0.7457627118644068,0.2542372881355932,3,1,48.62356,-122.8357
Olivehurst,Yuba,CA,1,1,0,1.0,0.0,1,0,39.10099,-121.55127
Olympia,Mason,WA,2,2,0,1.0,0.0,1,0,47.03779,-122.92333
Olympia,Thurston,WA,5956,4561,1395,0.7657824042981867,0.2342175957018133,298,1,47.03696436366689,-122.87533026024177
Omaha,Douglas,NE,3,1,2,0.3333333333333333,0.6666666666666666,1,0,41.210206666666664,-96.06342333333333
Omak,Okanogan,WA,29,12,17,0.41379310344827586,0.5862068965517241,2,0,48.41078,-119.52724
Onalaska,Lewis,WA,43,29,14,0.6744186046511628,0.32558139534883723,3,0,46.57812930232558,-122.70508930232558
Orcas,San Juan,WA,7,5,2,0.7142857142857143,0.2857142857142857,1,0,48.5982,-122.94093
Orcas Is,San Juan,WA,12,10,2,0.8333333333333334,0.16666666666666666,1,0,48.67569583333333,-122.91966916666667
Orient,Ferry,WA,2,2,0,1.0,0.0,1,0,48.8683,-118.20874
Orlando,Orange,FL,4,3,1,0.75,0.25,1,0,28.48899,-81.3167675
Orondo,Douglas,WA,73,62,11,0.8493150684931506,0.1506849315068493,4,1,47.62353,-120.22794999999999
Oroville,Okanogan,WA,22,18,4,0.8181818181818182,0.18181818181818182,2,0,48.93881,-119.43558000000002
Orting,Pierce,WA,258,197,61,0.7635658914728682,0.2364341085271318,13,1,47.09596,-122.20166
Othello,Adams,WA,63,49,14,0.7777777777777778,0.2222222222222222,4,1,46.82616,-119.1742
Othello,Franklin,WA,5,3,2,0.6,0.4,1,0,46.82616,-119.1742
Othello,Grant,WA,13,11,2,0.8461538461538461,0.15384615384615385,1,0,46.82616,-119.1742
