County,City,EV_Count,Avg_Range,Avg_MSRP,Longitude,Latitude,Charging_Score
Skamania,White Salmon,7,185.7143,39995.0,-121.487,45.7278,4.56
Spokane,Rockford,7,211.8571,69900.0,-117.1326,47.4523,4.42
Whitman,Garfield,7,195.8571,69900.0,-117.1336,47.0071,4.37
Kittitas,South Cle Elum,7,167.0,64950.0,-120.9482,47.1889,4.31
Okanogan,Carlton,7,160.1429,64950.0,-120.0933,48.2365,4.29
Lewis,Randle,7,127.5714,54947.5,-121.9558,46.5353,4.25
Grays Harbor,Moclips,7,124.0,69900.0,-124.2135,47.2393,4.16
Lincoln,Reardan,6,188.3333,39995.0,-117.877,47.6695,4.07
Lincoln,Wilbur,7,82.5714,69900.0,-118.7091,47.7594,4.03
Pierce,Wilkeson,6,150.3333,36800.0,-122.0473,47.1096,3.99
Stevens,Addy,6,212.6667,69900.0,-117.8379,48.3561,3.92
Clark,Las Vegas,6,172.3333,52900.0,-115.2793,36.168,3.9
Pierce,South Prairie,6,166.5,54947.5,-122.0962,47.1395,3.86
Kitsap,Pouslbo,6,182.1667,64950.0,-122.6468,47.7369,3.85
King,Snoqualmie Pass,6,154.8333,52900.0,-121.6594,47.4686,3.84
Clallam,Sekiu,6,173.8333,64950.0,-124.3004,48.2598,3.83
Wahkiakum,Naselle,6,167.0,69900.0,-123.8115,46.3654,3.79
Multnomah,Portland,6,185.3333,90700.0,-122.6096,45.5208,3.78
Leavenworth,Fort Leavenworth,6,119.8333,53710.0,-94.9202,39.3543,3.73
Spokane,Mica,5,225.0,69900.0,-117.2161,47.5644,3.46
Pacific,Nahcotta,5,148.6,39995.0,-124.0499,46.4915,3.45
Fairfax,Alexandria,5,178.8,69900.0,-77.0993,38.763,3.32
Pierce,Kapowsin,5,165.4,69900.0,-122.2347,46.9844,3.28
Monterey,Seaside,5,136.8,69900.0,-121.8535,36.604,3.2
Alexandria,Alexandria,4,204.5,61400.0,-77.0623,38.8128,2.94
Orange,Orlando,4,166.25,69900.0,-81.3168,28.489,2.78
Maricopa,Scottsdale,4,136.25,69900.0,-111.9234,33.5727,2.69
Pacific,Tokeland,4,81.5,52900.0,-123.9981,46.7123,2.62
Placer,Roseville,3,257.3333,69900.0,-121.3052,38.79,2.56
Spokane,Latah,3,230.3333,69900.0,-117.1551,47.2797,2.48
Stevens,Hunters,3,132.0,39995.0,-118.203,48.1178,2.4
Kitsap,Port Gamble,3,94.3333,39995.0,-122.6468,47.7369,2.28
Douglas,Omaha,3,89.0,39995.0,-96.0634,41.2102,2.27
San Diego,Oceanside,3,107.6667,54947.5,-117.3028,33.2408,2.19
Cowlitz,Cougar,3,148.0,81100.0,-122.3086,46.0465,2.19
Washoe,Sparks,2,261.5,69900.0,-119.7209,39.5823,2.07
Albemarle,Charlottesville,2,211.5,69900.0,-78.4746,38.0604,1.92
San Juan,San Juan Is,2,212.5,69900.0,-123.0165,48.5345,1.92
Cumberland,Fayetteville,2,212.5,69900.0,-78.8982,35.0196,1.92
Klickitat,Klickitat,2,113.5,36800.0,-121.1518,45.8176,1.88
Suffolk,Boston,2,123.5,39995.0,-71.061,42.3601,1.87
Whitman,Lacrosse,2,123.5,39995.0,-117.8814,46.8161,1.87
Kings,Brooklyn,2,123.5,39995.0,-74.0109,40.661,1.87
Arapahoe,Englewood,2,118.5,44100.0,-104.8751,39.6056,1.81
Allen,Fort Wayne,2,121.5,54947.5,-85.1673,41.1086,1.73
Suffolk,Suffolk,2,114.5,54950.0,-76.4205,36.877,1.71
New London,Norwich,2,114.0,64950.0,-72.0757,41.5268,1.65
Fresno,Fresno,2,117.5,69900.0,-119.8984,36.7999,1.64
Yakima,White Swan,2,117.0,69900.0,-120.7306,46.3829,1.64
Travis,Leander,1,265.0,59900.0,-97.8532,30.5796,1.63
Bexar,Jbsa Ft Sam Houston,2,32.0,39995.0,-98.4621,29.4491,1.6
New Haven,Madison,2,26.0,39995.0,-72.5951,41.2797,1.58
La Plata,Durango,1,249.0,69900.0,-107.8793,37.2737,1.53
Portsmouth,Portsmouth,2,29.0,53400.0,-76.3439,36.8298,1.46
Moore,Carthage,1,215.0,69900.0,-79.4154,35.3447,1.43
Geary,Junction City,1,215.0,69900.0,-96.8301,39.0283,1.43
Manassas,Manassas,1,215.0,69900.0,-77.4709,38.7512,1.43
Tooele,Tooele,1,210.0,69900.0,-112.2985,40.5341,1.42
Orange,Huntington Beach,1,208.0,69900.0,-118.0016,33.6789,1.41
Clay,Middleburg,1,208.0,69900.0,-81.8667,30.0668,1.41
Cook,Chicago,1,32.0,39995.0,-87.6534,41.883,1.1
Oldham,Goshen,1,33.0,39995.0,-85.5778,38.4002,1.1
San Diego,Lakeside,1,32.0,39995.0,-116.9046,32.854,1.1
New London,Preston,1,33.0,39995.0,-71.9897,41.5295,1.1
Douglas,Parker,1,32.0,39995.0,-104.7992,39.5118,1.1
Montgomery,Potomac,1,32.0,39995.0,-77.2088,39.018,1.1
Churchill,Fallon,1,32.0,39995.0,-118.778,39.4749,1.1
Calvert,Owings,1,32.0,39995.0,-76.604,38.7197,1.1
Maricopa,Tempe,1,32.0,39995.0,-111.9372,33.4255,1.1
Pinal,Apache Junction,1,32.0,39995.0,-111.5461,33.4231,1.1
Ventura,Camarillo,1,32.0,39995.0,-119.0507,34.2234,1.1
Loudoun,Chantilly,1,32.0,39995.0,-77.4871,38.9059,1.1
Adams,Benge,1,32.0,39995.0,-118.1026,46.909,1.1
San Diego,La Mesa,1,32.0,39995.0,-117.0244,32.766,1.1
Marin,Novato,1,14.0,44100.0,-122.5771,38.0993,1.0
Essex,Montclair,1,35.0,52900.0,-74.2128,40.8124,0.98
Muscogee,Columbus,1,35.0,64950.0,-84.9262,32.5396,0.91
Clackamas,Gladstone,1,14.0,54950.0,-122.5948,45.3806,0.91
Howard,Ellicott City,1,18.0,64950.0,-76.831,39.2772,0.86
Los Angeles,Hidden Hills,1,14.0,64950.0,-118.6933,34.1523,0.85
San Mateo,San Carlos,1,18.0,184400.0,-122.2628,37.5049,0.66
Skagit,Concrete,53,180.6792,,-121.7515,48.5389,
Lewis,Onalaska,43,151.8605,,-122.7051,46.5781,
Jefferson,Chimacum,36,158.1667,,-122.7733,48.0118,
Whitman,Colfax,30,163.6333,,-117.3648,46.8796,
Spokane,Valleyford,29,169.6207,,-117.2433,47.5397,
Adams,Ritzville,26,158.2308,,-118.3798,47.1274,
Chelan,Peshastin,26,171.2308,,-120.6036,47.568,
Spokane,Fairchild Air Force Base,25,146.56,,-117.6446,47.6405,
Thurston,Centralia,24,179.7917,,-122.9527,46.729,
Okanogan,Oroville,22,183.0455,,-119.4356,48.9388,
Walla Walla,Burbank,20,200.85,,-119.0156,46.1992,
Okanogan,Brewster,20,159.25,,-119.7809,48.0997,
Stevens,Deer Park,18,109.8333,,-117.4715,47.9543,
San Juan,Shaw Island,17,142.2941,,-122.9299,48.5835,
Grant,Warden,16,155.1875,,-119.0457,46.9697,
